Pick-Up Area,Payment Type,Average
Bronx,Credit,23.690989010988993
Bronx,Cash,14.646805896806008
Brooklyn,Credit,20.4220484970956
Brooklyn,Cash,14.285870580387192
Manhattan,Credit,15.454542555317623
Manhattan,Cash,12.366397570046788
Not Specified,Credit,20.86862068965515
Not Specified,Cash,14.555630252100421
Queens,Credit,41.02482765737776
Queens,Cash,25.786615484429998
Staten Island,Credit,46.8
Staten Island,Cash,11.8
