Pick-Up Area,Payment Type,Average
Bronx,Credit,23.690989010988993
Bronx,Cash,14.195764411027673
Brooklyn,Credit,20.202584810126954
Brooklyn,Cash,14.222777777778019
Manhattan,Credit,15.16709166309697
Manhattan,Cash,12.160904985238908
Queens,Credit,40.453578727840565
Queens,Cash,25.320589403974445
Staten Island,Credit,46.8
Staten Island,Cash,11.8
