index,VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,pickup_longitude,pickup_latitude,RatecodeID,store_and_fwd_flag,dropoff_longitude,dropoff_latitude,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,travel_date,pickup_area,dropoff_area,lyft_cost,lyft_plus_cost,lyft_line_cost,lyft_distance,lyft_duration
58500,1,2016-01-01 06:33:37,2016-01-01 06:38:31,1,1.2,-74.00818634033203,40.73766708374024,1,N,-73.99467468261719,40.75028991699219,2,6.0,0.0,0.5,0.0,0.0,0.3,6.8,2016-01-01,Manhattan,Manhattan,11.50,17.00,7.22,1.71,973
58501,1,2016-01-01 06:33:38,2016-01-01 06:36:41,1,0.7,-73.9109115600586,40.77600860595703,1,N,-73.9207534790039,40.76779174804688,2,4.5,0.0,0.5,0.0,0.0,0.3,5.3,2016-01-01,Queens,Queens,9.00,13.00,6.80,0.85,445
58502,1,2016-01-01 06:33:39,2016-01-01 06:56:52,1,8.4,-73.95555877685547,40.80427169799805,1,N,-74.01107025146483,40.71323776245117,1,26.5,0.0,0.5,5.45,0.0,0.3,32.75,2016-01-01,Manhattan,Manhattan,36.00,55.50,29.96,9.72,2721
58503,1,2016-01-01 06:33:40,2016-01-01 06:50:34,1,4.0,-73.78182983398438,40.6446533203125,1,N,-73.80701446533203,40.67621994018555,2,17.0,0.0,0.5,0.0,0.0,0.3,17.8,2016-01-01,Queens,Queens,14.50,22.50,13.50,4.03,802
58504,1,2016-01-01 06:33:42,2016-01-01 06:37:10,1,1.4,-73.99917602539062,40.73432922363281,1,N,-73.99462127685547,40.74998092651367,2,6.0,0.0,0.5,0.0,0.0,0.3,6.8,2016-01-01,Manhattan,Manhattan,11.00,15.50,6.34,1.43,821
58505,1,2016-01-01 06:33:42,2016-01-01 07:02:36,1,8.1,-73.956787109375,40.71278381347656,1,N,-73.87362670898438,40.67250442504883,2,27.0,0.0,0.5,0.0,0.0,0.3,27.8,2016-01-01,Brooklyn,Brooklyn,30.50,46.00,28.30,6.88,2624
58506,1,2016-01-01 06:33:42,2016-01-01 06:38:15,1,1.5,-73.95571899414062,40.77947235107422,1,N,-73.97781372070312,40.782958984375,2,6.5,0.0,0.5,0.0,0.0,0.3,7.3,2016-01-01,Manhattan,Manhattan,11.50,16.00,6.83,1.67,879
58507,1,2016-01-01 06:33:42,2016-01-01 06:42:44,2,2.6,-73.9935531616211,40.72163391113281,1,N,-73.99134826660156,40.74979019165039,1,10.0,0.0,0.5,2.15,0.0,0.3,12.95,2016-01-01,Manhattan,Manhattan,16.50,24.50,10.32,2.75,1482
58508,1,2016-01-01 06:33:43,2016-01-01 06:46:57,1,4.5,-73.98825073242188,40.759422302246094,1,N,-73.93035888671875,40.76681137084961,2,15.0,0.0,0.5,0.0,0.0,0.3,15.8,2016-01-01,Manhattan,Queens,23.00,34.50,19.02,4.82,1980
58509,1,2016-01-01 06:33:44,2016-01-01 06:33:51,1,3.0,-73.99463653564453,40.75021743774415,1,N,-73.99463653564453,40.75021743774415,2,2.5,0.0,0.5,0.0,0.0,0.3,3.3,2016-01-01,Manhattan,Manhattan,8.00,12.00,,0.0,5
