index,VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,pickup_longitude,pickup_latitude,RatecodeID,store_and_fwd_flag,dropoff_longitude,dropoff_latitude,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,travel_date,pickup_area,dropoff_area,lyft_cost,lyft_plus_cost,lyft_line_cost,lyft_distance,lyft_duration
5518,1,2016-01-01 00:31:54,2016-01-01 00:35:36,2,0.4,-73.9975051879883,40.75146865844727,1,N,-73.99855804443358,40.75527572631836,2,4.5,0.5,0.5,0.0,0.0,0.3,5.8,2016-01-01,Manhattan,Manhattan,8.50,12.00,5.25,0.52,389
5519,1,2016-01-01 00:31:54,2016-01-01 00:37:57,1,1.4,-73.94522857666014,40.718955993652344,1,N,-73.9551773071289,40.735260009765625,2,7.0,0.5,0.5,0.0,0.0,0.3,8.3,2016-01-01,Brooklyn,Brooklyn,10.50,14.50,6.00,1.37,644
5520,1,2016-01-01 00:31:54,2016-01-01 00:35:34,1,0.6,-73.95978546142578,40.77963638305664,1,N,-73.95170593261719,40.78202819824219,1,4.5,0.5,0.5,1.0,0.0,0.3,6.8,2016-01-01,Manhattan,Manhattan,8.50,12.50,5.20,0.67,379
5521,1,2016-01-01 00:31:55,2016-01-01 00:59:40,1,4.6,-74.01422119140625,40.71387481689453,1,N,-73.97209167480467,40.7569580078125,2,20.0,0.5,0.5,0.0,0.0,0.3,21.3,2016-01-01,Manhattan,Manhattan,24.00,37.00,15.30,6.38,1693
5522,1,2016-01-01 00:31:55,2016-01-01 00:38:40,1,0.8,-73.98693084716798,40.73630142211913,1,N,-73.98900604248048,40.72666549682617,1,6.0,0.5,0.5,1.8,0.0,0.3,9.1,2016-01-01,Manhattan,Manhattan,9.50,13.50,5.20,0.92,535
5523,1,2016-01-01 00:31:55,2016-01-01 00:35:54,3,1.2,-73.96186065673827,40.76786804199219,1,N,-73.94961547851562,40.781898498535156,2,5.5,0.5,0.5,0.0,0.0,0.3,6.8,2016-01-01,Manhattan,Manhattan,9.50,14.00,5.20,1.3,506
5524,1,2016-01-01 00:31:55,2016-01-01 00:45:53,2,4.0,-73.98628234863281,40.73058319091797,1,N,-73.9676055908203,40.68791961669922,1,14.0,0.5,0.5,4.0,0.0,0.3,19.3,2016-01-01,Manhattan,Brooklyn,19.50,29.50,16.20,4.28,1558
5525,1,2016-01-01 00:31:56,2016-01-01 00:36:08,1,1.9,-73.9555435180664,40.77665328979492,1,N,-73.93821716308595,40.80034637451172,1,7.0,0.5,0.5,2.0,0.0,0.3,10.3,2016-01-01,Manhattan,Manhattan,11.00,15.50,8.18,1.95,626
5526,1,2016-01-01 00:31:58,2016-01-01 00:42:12,1,3.7,-73.98079681396483,40.78257751464844,1,Y,-73.95780944824219,40.82028579711913,2,13.0,0.5,0.5,0.0,0.0,0.3,14.3,2016-01-01,Manhattan,Manhattan,14.00,21.00,11.36,3.57,797
5527,1,2016-01-01 00:31:58,2016-01-01 00:48:10,2,2.3,-73.98416900634766,40.74404525756836,1,N,-73.98323822021484,40.722312927246094,1,12.5,0.5,0.5,1.5,0.0,0.3,15.3,2016-01-01,Manhattan,Manhattan,14.00,20.50,8.71,2.57,1108
5528,1,2016-01-01 00:31:58,2016-01-01 00:33:49,1,0.3,-73.94841003417969,40.77825546264648,1,N,-73.94467163085938,40.779502868652344,2,3.5,0.5,0.5,0.0,0.0,0.3,4.8,2016-01-01,Manhattan,Manhattan,8.00,12.00,5.38,0.35,219
5529,1,2016-01-01 00:31:59,2016-01-01 00:46:12,1,1.5,-73.9933090209961,40.736724853515625,1,N,-73.99246978759766,40.75365447998047,1,10.5,0.5,0.5,2.36,0.0,0.3,14.16,2016-01-01,Manhattan,Manhattan,11.50,17.00,7.28,1.67,998
5530,1,2016-01-01 00:31:59,2016-01-01 00:46:58,2,5.6,-73.98390197753906,40.73007583618164,1,N,-73.95059967041014,40.78644180297852,1,18.5,0.5,0.5,4.95,0.0,0.3,24.75,2016-01-01,Manhattan,Manhattan,20.50,31.00,12.90,5.25,1394
