index,VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,pickup_longitude,pickup_latitude,RatecodeID,store_and_fwd_flag,dropoff_longitude,dropoff_latitude,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,travel_date,pickup_area,dropoff_area,lyft_cost,lyft_plus_cost,lyft_line_cost,lyft_distance,lyft_duration
66500,1,2016-01-01 10:05:16,2016-01-01 10:20:31,2,5.8,-73.9884262084961,40.73145294189453,1,N,-73.9719467163086,40.797264099121094,1,18.5,0.0,0.5,3.0,0.0,0.3,22.3,2016-01-01,Manhattan,Manhattan,28.40,42.80,29.47,6.43,2419
66501,1,2016-01-01 10:05:16,2016-01-01 10:07:01,1,0.6,-73.97825622558594,40.78326416015625,1,N,-73.98020172119139,40.78978729248047,2,4.0,0.0,0.5,0.0,0.0,0.3,4.8,2016-01-01,Manhattan,Manhattan,8.50,12.00,5.20,0.67,316
66502,1,2016-01-01 10:05:20,2016-01-01 10:12:03,1,2.1,-73.98588562011719,40.72685241699219,1,N,-73.9769058227539,40.75172424316406,2,8.5,0.0,0.5,0.0,0.0,0.3,9.3,2016-01-01,Manhattan,Manhattan,14.40,21.20,11.30,2.42,1230
66503,1,2016-01-01 10:05:23,2016-01-01 10:28:47,1,6.1,-73.93407440185547,40.80219650268555,1,N,-73.99723052978516,40.75622940063477,1,21.5,0.0,0.5,3.0,0.0,0.3,25.3,2016-01-01,Manhattan,Manhattan,29.50,44.00,24.38,6.25,2489
66504,1,2016-01-01 10:05:25,2016-01-01 10:12:43,1,2.5,-74.0071029663086,40.725730895996094,1,N,-73.98319244384766,40.75600051879883,2,9.5,0.0,0.5,0.0,0.0,0.3,10.3,2016-01-01,Manhattan,Manhattan,17.00,25.00,10.71,2.92,1524
66505,1,2016-01-01 10:05:29,2016-01-01 10:11:23,1,1.0,-73.98747253417969,40.74141311645508,1,N,-73.97579193115234,40.74871063232422,2,6.5,0.0,0.5,0.0,0.0,0.3,7.3,2016-01-01,Manhattan,Manhattan,8.67,12.67,8.29,1.09,708
66506,1,2016-01-01 10:05:33,2016-01-01 10:13:07,1,1.5,-73.982177734375,40.77815628051758,1,N,-73.9861068725586,40.757362365722656,1,7.5,0.0,0.5,1.66,0.0,0.3,9.96,2016-01-01,Manhattan,Manhattan,14.00,20.50,8.81,1.84,1355
66507,1,2016-01-01 10:05:35,2016-01-01 10:12:49,1,1.8,-73.98773193359375,40.74970245361328,1,N,-73.9659194946289,40.75711059570313,1,8.0,0.0,0.5,1.0,0.0,0.3,9.8,2016-01-01,Manhattan,Manhattan,13.43,20.00,15.00,2.08,1207
66508,1,2016-01-01 10:05:35,2016-01-01 10:41:34,1,10.8,-73.77665710449219,40.64541244506836,1,N,-73.9046630859375,40.669193267822266,2,36.5,0.0,0.5,0.0,0.0,0.3,37.3,2016-01-01,Queens,Brooklyn,34.50,53.00,32.03,9.73,2452
66509,1,2016-01-01 10:05:36,2016-01-01 10:29:47,2,12.8,-73.87081146240234,40.77375411987305,1,N,-74.01749420166014,40.706878662109375,1,35.5,0.0,0.5,7.25,0.0,0.3,43.55,2016-01-01,Queens,Manhattan,52.50,79.00,43.59,14.88,3306
66510,1,2016-01-01 10:05:41,2016-01-01 10:12:19,1,1.3,-74.0089111328125,40.71371841430664,1,N,-73.99420166015625,40.722843170166016,1,7.0,0.0,0.5,1.55,0.0,0.3,9.35,2016-01-01,Manhattan,Manhattan,11.50,16.50,7.08,1.48,1003
66511,1,2016-01-01 10:05:42,2016-01-01 10:15:07,1,2.2,-73.98601531982422,40.76238250732422,1,N,-73.95579528808595,40.76413345336913,1,9.5,0.0,0.5,4.7,0.0,0.3,15.0,2016-01-01,Manhattan,Manhattan,15.33,22.67,14.67,2.34,1461
66512,1,2016-01-01 10:05:43,2016-01-01 10:06:00,1,0.0,-73.99103546142578,40.72782516479492,1,N,-73.99067687988281,40.728340148925774,4,2.5,0.0,0.5,0.0,0.0,0.3,3.3,2016-01-01,Manhattan,Manhattan,8.00,12.00,,0.09,5
