index,VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,pickup_longitude,pickup_latitude,RatecodeID,store_and_fwd_flag,dropoff_longitude,dropoff_latitude,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,travel_date,pickup_area,dropoff_area
143500,1,2016-01-01 22:42:14,2016-01-01 22:52:37,1,2.1,-73.98848724365234,40.72749328613281,1,N,-73.97740173339844,40.75197219848633,2,9.5,0.5,0.5,0.0,0.0,0.3,10.8,2016-01-01,Manhattan,Manhattan
143501,1,2016-01-01 22:42:14,2016-01-01 22:53:47,4,1.4,-73.97449493408203,40.75644302368164,1,N,-73.97965240478516,40.74368667602539,2,9.0,0.5,0.5,0.0,0.0,0.3,10.3,2016-01-01,Manhattan,Manhattan
143502,1,2016-01-01 22:42:14,2016-01-01 22:54:34,2,2.7,-74.00579071044923,40.740333557128906,1,N,-73.97330474853516,40.75508499145508,1,11.0,0.5,0.5,2.46,0.0,0.3,14.76,2016-01-01,Manhattan,Manhattan
143503,1,2016-01-01 22:42:14,2016-01-01 22:47:33,1,1.1,-73.97779083251955,40.75762176513672,1,N,-73.98757934570312,40.74406051635742,1,6.0,0.5,0.5,1.45,0.0,0.3,8.75,2016-01-01,Manhattan,Manhattan
143504,1,2016-01-01 22:42:16,2016-01-01 22:58:48,1,4.0,-73.99935150146483,40.73880386352539,1,N,-73.96720123291014,40.70990753173828,1,15.5,0.5,0.5,2.0,0.0,0.3,18.8,2016-01-01,Manhattan,Brooklyn
143505,1,2016-01-01 22:42:16,2016-01-01 23:05:52,4,8.6,-73.87480163574219,40.77409362792969,1,N,-73.96952056884766,40.80207824707031,1,27.0,0.5,0.5,6.75,5.54,0.3,40.59,2016-01-01,Queens,Manhattan
143506,1,2016-01-01 22:42:17,2016-01-01 23:15:39,1,17.1,-73.78990936279298,40.64694213867188,1,N,-73.9330520629883,40.76384353637695,1,48.5,0.5,0.5,9.95,0.0,0.3,59.75,2016-01-01,Queens,Queens
143507,1,2016-01-01 22:42:18,2016-01-01 22:50:54,3,1.6,-73.97322082519531,40.76434326171875,1,N,-73.9908218383789,40.75115966796875,2,8.0,0.5,0.5,0.0,0.0,0.3,9.3,2016-01-01,Manhattan,Manhattan
143508,1,2016-01-01 22:42:19,2016-01-01 22:46:40,1,1.0,-73.97578430175781,40.78653335571289,1,N,-73.9791717529297,40.77681350708008,1,5.5,0.5,0.5,1.35,0.0,0.3,8.15,2016-01-01,Manhattan,Manhattan
143509,1,2016-01-01 22:42:19,2016-01-01 22:57:24,1,1.3,-73.98440551757811,40.75898742675781,1,N,-73.97002410888672,40.757232666015625,1,10.5,0.5,0.5,2.35,0.0,0.3,14.15,2016-01-01,Manhattan,Manhattan
143510,1,2016-01-01 22:42:19,2016-01-01 23:02:46,1,5.1,-74.00076293945312,40.72943878173828,1,N,-73.98075103759766,40.66825866699219,1,19.5,0.5,0.5,4.15,0.0,0.3,24.95,2016-01-01,Manhattan,Brooklyn
143511,1,2016-01-01 22:42:19,2016-01-01 22:54:02,1,1.3,-73.97852325439453,40.76182556152344,1,N,-73.99357604980467,40.756927490234375,2,9.0,0.5,0.5,0.0,0.0,0.3,10.3,2016-01-01,Manhattan,Manhattan
143512,1,2016-01-01 22:42:20,2016-01-01 23:16:47,3,19.3,-73.78216552734375,40.644718170166016,2,N,-73.99781799316406,40.737892150878906,1,52.0,0.0,0.5,10.0,5.54,0.3,68.34,2016-01-01,Queens,Manhattan
143513,1,2016-01-01 22:42:20,2016-01-01 22:55:12,2,2.6,-73.96893310546875,40.798423767089844,1,N,-73.97718048095702,40.764991760253906,1,12.0,0.5,0.5,2.0,0.0,0.3,15.3,2016-01-01,Manhattan,Manhattan
143514,1,2016-01-01 22:42:21,2016-01-01 22:47:40,1,0.6,-73.9822998046875,40.76046371459961,1,N,-73.9736328125,40.75509643554688,2,5.0,0.5,0.5,0.0,0.0,0.3,6.3,2016-01-01,Manhattan,Manhattan
143515,1,2016-01-01 22:42:21,2016-01-01 23:15:26,2,19.0,-73.78202819824219,40.64469909667969,2,N,-74.00069427490234,40.72975158691406,1,52.0,0.0,0.5,5.0,0.0,0.3,57.8,2016-01-01,Queens,Manhattan
143516,1,2016-01-01 22:42:21,2016-01-01 22:57:54,4,3.9,-73.91484069824219,40.75331497192383,1,N,-73.97352600097656,40.74773788452149,2,15.5,0.5,0.5,0.0,0.0,0.3,16.8,2016-01-01,Queens,Manhattan
143517,1,2016-01-01 22:42:22,2016-01-01 22:47:28,1,1.5,-74.00601959228516,40.74219131469727,1,N,-73.99415588378906,40.76148986816406,1,7.0,0.5,0.5,2.05,0.0,0.3,10.35,2016-01-01,Manhattan,Manhattan
143518,1,2016-01-01 22:42:23,2016-01-01 22:50:42,1,1.9,-73.95123291015625,40.77495956420898,1,N,-73.977294921875,40.7767333984375,1,8.5,0.5,0.5,1.95,0.0,0.3,11.75,2016-01-01,Manhattan,Manhattan
143519,1,2016-01-01 22:42:23,2016-01-01 22:45:29,1,0.4,-73.98609161376955,40.71953582763672,1,N,-73.9895248413086,40.71617889404297,1,4.0,0.5,0.5,1.55,0.0,0.3,6.85,2016-01-01,Manhattan,Manhattan
143520,1,2016-01-01 22:42:23,2016-01-01 22:56:46,2,2.8,-73.99323272705078,40.73336410522461,1,N,-73.9782943725586,40.76665496826172,2,12.0,0.5,0.5,0.0,0.0,0.3,13.3,2016-01-01,Manhattan,Manhattan
143521,1,2016-01-01 22:42:23,2016-01-01 22:51:18,1,1.8,-73.96759033203125,40.75605773925781,1,N,-73.99097442626955,40.7503776550293,2,8.5,0.5,0.5,0.0,0.0,0.3,9.8,2016-01-01,Manhattan,Manhattan
143522,1,2016-01-01 22:42:24,2016-01-01 22:46:47,1,0.9,-73.95720672607422,40.77387237548828,1,N,-73.97151947021484,40.78201675415039,1,5.5,0.5,0.5,1.0,0.0,0.3,7.8,2016-01-01,Manhattan,Manhattan
143523,1,2016-01-01 22:42:24,2016-01-01 22:45:42,1,0.7,-73.98485565185547,40.75866317749024,1,N,-73.99138641357422,40.75032043457031,1,4.5,0.5,0.5,0.0,0.0,0.3,5.8,2016-01-01,Manhattan,Manhattan
143524,1,2016-01-01 22:42:24,2016-01-01 23:11:32,1,19.7,-73.77674102783203,40.64517593383789,1,N,-73.9964141845703,40.69384002685547,1,52.0,0.5,0.5,10.65,0.0,0.3,63.95,2016-01-01,Queens,Brooklyn
143525,1,2016-01-01 22:42:25,2016-01-01 22:58:42,1,2.3,-73.98528289794923,40.74713134765625,1,N,-73.98267364501955,40.7716064453125,1,12.5,0.5,0.5,2.0,0.0,0.3,15.8,2016-01-01,Manhattan,Manhattan
143526,1,2016-01-01 22:42:25,2016-01-01 22:59:03,1,9.1,-73.86392974853516,40.76968765258789,1,N,-73.98094940185547,40.74180603027344,1,27.0,0.5,0.5,6.75,5.54,0.3,40.59,2016-01-01,Queens,Manhattan
143527,1,2016-01-01 22:42:25,2016-01-01 22:44:25,1,0.9,-73.9605941772461,40.7783088684082,1,N,-73.95217132568358,40.78980255126953,1,4.5,0.5,0.5,1.0,0.0,0.3,6.8,2016-01-01,Manhattan,Manhattan
143528,1,2016-01-01 22:42:26,2016-01-01 22:46:26,1,1.1,-73.95075988769531,40.71094512939453,1,N,-73.94355010986328,40.70228958129883,2,5.5,0.5,0.5,0.0,0.0,0.3,6.8,2016-01-01,Brooklyn,Brooklyn
143529,1,2016-01-01 22:42:26,2016-01-01 22:49:23,1,0.7,-73.98343658447266,40.768909454345696,1,N,-73.98505401611328,40.75794982910156,2,6.0,0.5,0.5,0.0,0.0,0.3,7.3,2016-01-01,Manhattan,Manhattan
143530,1,2016-01-01 22:42:26,2016-01-01 22:51:31,1,1.7,-73.98421478271484,40.72924423217773,1,N,-73.99776458740234,40.74509048461913,1,8.5,0.5,0.5,0.98,0.0,0.3,10.78,2016-01-01,Manhattan,Manhattan
143531,1,2016-01-01 22:42:27,2016-01-01 23:03:35,1,8.9,-73.87447357177734,40.77402877807617,1,N,-73.97918701171875,40.73728561401367,1,27.0,0.5,0.5,8.46,5.54,0.3,42.3,2016-01-01,Queens,Manhattan
143532,1,2016-01-01 22:42:28,2016-01-01 22:51:47,3,1.2,-73.96891021728516,40.75437545776367,1,N,-73.98801422119139,40.75664520263672,1,7.5,0.5,0.5,1.75,0.0,0.3,10.55,2016-01-01,Manhattan,Manhattan
143533,1,2016-01-01 22:42:29,2016-01-01 22:46:32,2,0.8,-73.9908905029297,40.73493194580078,1,N,-74.00030517578125,40.734954833984375,1,5.0,0.5,0.5,1.25,0.0,0.3,7.55,2016-01-01,Manhattan,Manhattan
143534,1,2016-01-01 22:42:29,2016-01-01 22:58:21,1,4.5,-73.99954223632812,40.73099899291992,1,N,-73.9515151977539,40.77180862426758,3,15.5,0.5,0.5,0.0,0.0,0.3,16.8,2016-01-01,Manhattan,Manhattan
143535,1,2016-01-01 22:42:30,2016-01-01 23:11:16,1,12.1,-73.7767105102539,40.64523696899415,1,N,-73.95288848876955,40.671890258789055,1,35.5,0.5,0.5,7.35,0.0,0.3,44.15,2016-01-01,Queens,Brooklyn
143536,1,2016-01-01 22:42:31,2016-01-01 23:16:46,1,11.7,-73.87098693847656,40.77370071411133,1,N,-73.99636840820312,40.76244735717773,1,37.5,0.5,0.5,8.85,5.54,0.3,53.19,2016-01-01,Queens,Manhattan
143537,1,2016-01-01 22:42:31,2016-01-01 22:49:13,1,1.6,-73.97798919677734,40.72941970825195,1,N,-73.97222900390625,40.747371673583984,2,7.5,0.5,0.5,0.0,0.0,0.3,8.8,2016-01-01,Manhattan,Manhattan
143538,1,2016-01-01 22:42:31,2016-01-01 22:50:20,1,1.7,-73.98889923095702,40.72294616699219,1,N,-74.00737762451173,40.70510864257813,2,8.0,0.5,0.5,0.0,0.0,0.3,9.3,2016-01-01,Manhattan,Manhattan
143539,1,2016-01-01 22:42:32,2016-01-01 22:44:51,1,0.6,-73.97824096679686,40.77812576293945,1,N,-73.98712158203125,40.77580642700195,2,4.0,0.5,0.5,0.0,0.0,0.3,5.3,2016-01-01,Manhattan,Manhattan
