Dropoff Area,Average Tip,Max Tip,Min Tip
Bronx,13.530144917356498,59.91869918699186,0.0
Brooklyn,18.919952219480695,85.83690987124464,0.0
Manhattan,18.95011756785474,89.3939393939394,0.0
Not Specified,17.504514168355676,77.51937984496124,0.0
Queens,17.957617354783146,88.70967741935485,0.0
Staten Island,16.211537196923558,29.973772948669932,0.0
