Dropoff Area,Average Tip,Max Tip,Min Tip
Bronx,13.521723910712957,59.91869918699186,0.0
Brooklyn,18.914778586118988,76.04562737642587,0.0
Manhattan,18.946662671431742,89.3939393939394,0.0
Queens,17.95895877068087,88.70967741935485,0.0
Staten Island,17.16515703203671,29.973772948669932,0.0
