Dropoff Area,Payment Type,Amount
Bronx,Cash,24.83
Bronx,Credit,36.77
Brooklyn,Cash,19.83
Brooklyn,Credit,25.77
Manhattan,Cash,11.2
Manhattan,Credit,14.61
Queens,Cash,23.28
Queens,Credit,32.56
Staten Island,Cash,67.4
Staten Island,Credit,84.37
