Dropoff Area,Payment Type,Amount
Bronx,Cash,24.84
Bronx,Credit,36.96
Brooklyn,Cash,19.84
Brooklyn,Credit,25.79
Manhattan,Cash,11.2
Manhattan,Credit,14.61
Not Specified,Cash,21.3
Not Specified,Credit,32.45
Queens,Cash,23.32
Queens,Credit,32.59
Staten Island,Cash,64.83
Staten Island,Credit,83.73
