VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,pickup_longitude,pickup_latitude,RatecodeID,store_and_fwd_flag,dropoff_longitude,dropoff_latitude,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount
1,2016-01-01 00:00:01,2016-01-01 00:11:55,1,1.2,-73.97942352294923,40.74461364746094,1,N,-73.99203491210938,40.753944396972656,2,9.0,0.5,0.5,0.0,0.0,0.3,10.3
1,2016-01-01 00:00:02,2016-01-01 00:11:14,1,6.0,-73.94715118408203,40.79104614257813,1,N,-73.92076873779298,40.865577697753906,2,18.0,0.5,0.5,0.0,0.0,0.3,19.3
1,2016-01-01 00:00:04,2016-01-01 00:14:32,1,3.7,-74.00430297851562,40.74224090576172,1,N,-74.00736236572266,40.70693588256836,1,14.0,0.5,0.5,3.05,0.0,0.3,18.35
1,2016-01-01 00:00:05,2016-01-01 00:14:27,2,2.2,-73.99199676513672,40.71857833862305,1,N,-74.00513458251955,40.73994445800781,1,11.0,0.5,0.5,1.5,0.0,0.3,13.8
1,2016-01-01 00:00:06,2016-01-01 00:04:44,1,1.7,-73.9821014404297,40.774696350097656,1,Y,-73.97093963623048,40.79670715332031,1,7.0,0.5,0.5,1.65,0.0,0.3,9.95
2,2016-01-01 00:00:01,2016-01-01 00:11:55,1,1.2,-73.97942352294923,40.74461364746094,1,N,-73.99203491210938,40.753944396972656,2,9.0,0.5,0.5,0.0,0.0,0.3,10.3
2,2016-01-01 00:00:02,2016-01-01 00:11:14,1,6.0,-73.94715118408203,40.79104614257813,1,N,-73.92076873779298,40.865577697753906,2,18.0,0.5,0.5,0.0,0.0,0.3,19.3
2,2016-01-01 00:00:04,2016-01-01 00:14:32,1,3.7,-74.00430297851562,40.74224090576172,1,N,-74.00736236572266,40.70693588256836,1,14.0,0.5,0.5,3.05,0.0,0.3,18.35
2,2016-01-01 00:00:05,2016-01-01 00:14:27,2,2.2,-73.99199676513672,40.71857833862305,1,N,-74.00513458251955,40.73994445800781,1,11.0,0.5,0.5,1.5,0.0,0.3,13.8
2,2016-01-01 00:00:06,2016-01-01 00:04:44,1,1.7,-73.9821014404297,40.774696350097656,1,Y,-73.97093963623048,40.79670715332031,1,7.0,0.5,0.5,1.65,0.0,0.3,9.95
