index,VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,pickup_longitude,pickup_latitude,RatecodeID,store_and_fwd_flag,dropoff_longitude,dropoff_latitude,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,travel_date,pickup_area,dropoff_area
94500,1,2016-01-01 15:05:40,2016-01-01 15:09:31,3,1.2,-74.00676727294923,40.74872589111328,1,N,-73.99392700195312,40.76153564453125,2,5.5,0.0,0.5,0.0,0.0,0.3,6.3,2016-01-01,Manhattan,Manhattan
94501,1,2016-01-01 15:05:40,2016-01-01 15:19:52,1,6.0,-73.9786376953125,40.74914932250977,1,N,-74.01384735107422,40.71366882324219,1,19.0,0.0,0.5,3.95,0.0,0.3,23.75,2016-01-01,Manhattan,Manhattan
94502,1,2016-01-01 15:05:41,2016-01-01 15:38:32,1,16.0,-73.98912811279298,40.72139358520508,3,N,-74.17723083496094,40.69510269165039,1,63.0,0.0,0.0,11.2,10.5,0.3,85.0,2016-01-01,Manhattan,Not Specified
94503,1,2016-01-01 15:05:41,2016-01-01 15:14:34,1,1.1,-73.97205352783203,40.76436996459961,1,N,-73.9623031616211,40.755592346191406,2,7.5,0.0,0.5,0.0,0.0,0.3,8.3,2016-01-01,Manhattan,Manhattan
94504,1,2016-01-01 15:05:41,2016-01-01 15:13:09,1,1.2,-73.98432922363281,40.74595642089844,1,N,-73.99822998046875,40.756744384765625,2,7.0,0.0,0.5,0.0,0.0,0.3,7.8,2016-01-01,Manhattan,Manhattan
94505,1,2016-01-01 15:05:41,2016-01-01 15:24:26,1,8.7,-73.96803283691406,40.76268768310547,1,N,-73.8723373413086,40.7745475769043,2,26.0,0.0,0.5,0.0,0.0,0.3,26.8,2016-01-01,Manhattan,Queens
94506,1,2016-01-01 15:05:41,2016-01-01 15:18:56,1,2.6,-73.99044036865234,40.73716735839844,1,N,-73.9769287109375,40.76626205444336,2,11.0,0.0,0.5,0.0,0.0,0.3,11.8,2016-01-01,Manhattan,Manhattan
94507,1,2016-01-01 15:05:42,2016-01-01 15:34:57,3,11.1,-73.87101745605469,40.77370071411133,1,N,-73.98723602294923,40.75835800170898,2,34.5,0.0,0.5,0.0,5.54,0.3,40.84,2016-01-01,Queens,Manhattan
94508,1,2016-01-01 15:05:43,2016-01-01 15:12:19,1,0.9,-73.99673461914062,40.74631118774415,1,N,-74.00839233398438,40.74731063842773,2,6.5,0.0,0.5,0.0,0.0,0.3,7.3,2016-01-01,Manhattan,Manhattan
94509,1,2016-01-01 15:05:43,2016-01-01 15:27:46,3,4.6,-73.95679473876955,40.76702499389648,1,N,-74.00074768066406,40.72340774536133,2,18.5,0.0,0.5,0.0,0.0,0.3,19.3,2016-01-01,Manhattan,Manhattan
94510,1,2016-01-01 15:05:43,2016-01-01 15:11:50,1,0.8,-74.00827026367188,40.71673202514648,1,N,-74.00664520263672,40.70801162719727,1,6.0,0.0,0.5,1.35,0.0,0.3,8.15,2016-01-01,Manhattan,Manhattan
94511,1,2016-01-01 15:05:44,2016-01-01 15:11:54,1,1.7,-73.94725799560547,40.77581405639648,1,N,-73.964599609375,40.75567626953125,2,7.5,0.0,0.5,0.0,0.0,0.3,8.3,2016-01-01,Manhattan,Manhattan
94512,1,2016-01-01 15:05:44,2016-01-01 15:44:02,2,17.4,-73.98829650878906,40.747596740722656,2,Y,-73.78358459472656,40.64368057250977,2,52.0,0.0,0.5,0.0,8.0,0.3,60.8,2016-01-01,Manhattan,Queens
94513,1,2016-01-01 15:05:44,2016-01-01 15:18:12,2,2.3,-73.9791717529297,40.7768440246582,1,N,-73.99172973632812,40.749420166015625,1,11.0,0.0,0.5,2.0,0.0,0.3,13.8,2016-01-01,Manhattan,Manhattan
94514,1,2016-01-01 15:05:45,2016-01-01 15:11:59,2,1.2,-73.98819732666014,40.749324798583984,1,N,-73.98152923583984,40.7409782409668,2,6.5,0.0,0.5,0.0,0.0,0.3,7.3,2016-01-01,Manhattan,Manhattan
94515,1,2016-01-01 15:05:45,2016-01-01 15:19:46,1,3.5,-74.00027465820312,40.732826232910156,1,N,-73.96343231201173,40.76612091064453,2,13.0,0.0,0.5,0.0,0.0,0.3,13.8,2016-01-01,Manhattan,Manhattan
94516,1,2016-01-01 15:05:45,2016-01-01 15:51:39,2,18.6,-73.78214263916014,40.64476013183594,2,N,-73.98352813720702,40.762603759765625,1,52.0,0.0,0.5,11.65,5.54,0.3,69.99,2016-01-01,Queens,Manhattan
94517,1,2016-01-01 15:05:46,2016-01-01 15:26:59,1,5.3,-74.0056915283203,40.74055099487305,1,N,-73.95802307128906,40.721839904785156,2,19.5,0.0,0.5,0.0,0.0,0.3,20.3,2016-01-01,Manhattan,Brooklyn
94518,1,2016-01-01 15:05:47,2016-01-01 15:13:14,1,1.7,-73.97947692871094,40.78476333618164,1,N,-73.96389770507811,40.804447174072266,1,8.0,0.0,0.5,1.75,0.0,0.3,10.55,2016-01-01,Manhattan,Manhattan
94519,1,2016-01-01 15:05:47,2016-01-01 15:10:46,1,0.9,-73.98387908935547,40.75518035888672,1,N,-73.97438049316406,40.75014877319336,2,5.5,0.0,0.5,0.0,0.0,0.3,6.3,2016-01-01,Manhattan,Manhattan
