index,VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,pickup_longitude,pickup_latitude,RatecodeID,store_and_fwd_flag,dropoff_longitude,dropoff_latitude,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,travel_date,pickup_area,dropoff_area
55021,1,2016-01-01 05:21:35,2016-01-01 05:28:27,2,1.6,-73.98878479003906,40.72695541381836,1,N,-74.00877380371094,40.71267318725585,1,7.5,0.5,0.5,2.6,0.0,0.3,11.4,2016-01-01,Manhattan,Manhattan
55022,1,2016-01-01 05:21:35,2016-01-01 05:28:29,2,2.1,-73.99188232421875,40.721992492675774,1,N,-73.9913330078125,40.74300384521485,1,8.0,0.5,0.5,1.85,0.0,0.3,11.15,2016-01-01,Manhattan,Manhattan
55023,1,2016-01-01 05:21:36,2016-01-01 05:25:41,1,1.9,-73.87999725341797,40.89509201049805,1,N,-73.89788055419923,40.88996887207031,2,7.5,0.5,0.5,0.0,0.0,0.3,8.8,2016-01-01,Bronx,Bronx
55024,1,2016-01-01 05:21:36,2016-01-01 05:33:30,1,3.4,-73.98987579345702,40.72970581054688,1,N,-73.95967864990234,40.71814346313477,2,13.0,0.5,0.5,0.0,0.0,0.3,14.3,2016-01-01,Manhattan,Brooklyn
55025,1,2016-01-01 05:21:37,2016-01-01 05:32:05,1,3.3,-73.99163055419923,40.74989318847656,1,N,-74.01182556152342,40.707862854003906,2,11.5,0.5,0.5,0.0,0.0,0.3,12.8,2016-01-01,Manhattan,Manhattan
55026,1,2016-01-01 05:21:39,2016-01-01 05:32:52,2,2.0,-73.98500061035155,40.74809646606445,1,N,-73.99436950683594,40.76418685913085,2,10.0,0.5,0.5,0.0,0.0,0.3,11.3,2016-01-01,Manhattan,Manhattan
55027,1,2016-01-01 05:21:39,2016-01-01 05:30:15,1,2.5,-73.98875427246094,40.722068786621094,1,N,-73.95196533203125,40.71259689331055,1,10.0,0.5,0.5,2.8,0.0,0.3,14.1,2016-01-01,Manhattan,Brooklyn
55028,1,2016-01-01 05:21:43,2016-01-01 05:27:39,1,1.2,-74.00506591796875,40.7408332824707,1,N,-73.99723052978516,40.7430076599121,2,6.5,0.5,0.5,0.0,0.0,0.3,7.8,2016-01-01,Manhattan,Manhattan
55029,1,2016-01-01 05:21:45,2016-01-01 05:37:50,2,3.1,-73.92244720458984,40.70102310180664,1,N,-73.93379211425781,40.715309143066406,2,13.5,0.5,0.5,0.0,0.0,0.3,14.8,2016-01-01,Brooklyn,Brooklyn
55030,1,2016-01-01 05:21:45,2016-01-01 05:27:25,1,1.4,-73.98857116699219,40.74859237670898,1,N,-73.99526977539062,40.76216506958008,1,7.0,0.5,0.5,1.0,0.0,0.3,9.3,2016-01-01,Manhattan,Manhattan
55031,1,2016-01-01 05:21:46,2016-01-01 05:25:20,1,1.4,-73.99324798583984,40.74230575561523,1,N,-73.9773941040039,40.75183868408203,2,6.0,0.5,0.5,0.0,0.0,0.3,7.3,2016-01-01,Manhattan,Manhattan
55032,1,2016-01-01 05:21:46,2016-01-01 05:31:10,1,2.3,-73.98478698730467,40.74806594848633,1,N,-73.98918151855469,40.721866607666016,2,9.5,0.5,0.5,0.0,0.0,0.3,10.8,2016-01-01,Manhattan,Manhattan
55033,1,2016-01-01 05:21:47,2016-01-01 05:25:19,1,0.4,-73.9238052368164,40.82754898071289,1,N,-73.9201889038086,40.82922744750977,2,4.0,0.5,0.5,0.0,0.0,0.3,5.3,2016-01-01,Bronx,Bronx
