passenger_count,cost_without_tip,estimated_lyft_cost
1,15.5270821275485,14.524888139107546
2,15.619221744258576,14.691039425071454
3,15.56320711184471,14.589872009781391
4,15.802088424007602,14.770005958410525
5,15.293307692307556,14.433476562500013
6,14.042695652173958,13.71676991150443
