Pick-Up,Bronx,Brooklyn,Manhattan,Queens,Staten Island
Bronx,4328.69,197.78,2930.96,656.54,0.0
Brooklyn,1184.25,67935.79,40048.17,15083.4,51.3
Manhattan,43725.55,161242.94,1360331.61,213737.8,2033.2
Queens,8138.49,58872.59,175640.55,69512.92,963.15
Staten Island,0.0,46.8,0.0,0.0,11.8
